2020-05-07 17:02:19 pid:6327 Workerman[index.php] start in DEBUG mode
2020-05-07 17:02:23 pid:6327 worker[none:6706] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6707] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6708] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6709] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6710] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6711] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6712] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6713] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6714] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6715] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6716] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6717] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6718] exit with status 65280
2020-05-07 17:02:23 pid:6327 worker[none:6719] exit with status 65280
2020-05-07 17:02:24 pid:6327 worker[none:6720] exit with status 65280
2020-05-07 17:02:24 pid:6327 worker[none:6721] exit with status 65280
2020-05-07 17:02:24 pid:6327 worker[none:6722] exit with status 65280
2020-05-07 17:02:24 pid:6327 worker[none:6723] exit with status 65280
